OBJECTID,School Name,Address,Address2,City,State,Zip,County,Contact Name,Title,Phone,Email / Contact Page,Institute Type Description,Institute Sub Type Description,Record Type Description,Community Type Description,District Type Description,School District Location,Institute ID,SED Code,x,y
2269,MOUNTAIN LAUREL WALDORF SCHOOL,16 S CHESTNUT ST, ,NEW PALTZ,NY,12561,ULSTER,SUSAN RAMATY,PRINCIPAL,8452550033,sramaty@mountainlaurel.org,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),MEDIUM CENTRAL DISTRICTS, ,NEW PALTZ CSD,800000036145,621101999524,575940.547216284,4622023.07353946
2270,WOODSTOCK DAY SCHOOL,1430 GLASCO TPKE, ,SAUGERTIES,NY,12477,ULSTER,JENNIFER CINTI,EXECUTIVE DIRECTOR,8452463744,jcinti@woodstockdayschool.org,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),MEDIUM CENTRAL DISTRICTS, ,SAUGERTIES CSD,800000036120,621601997896,577881.119124401,4655637.07291299
2271,HACKLEY SCHOOL,293 BENEDICT AVE, ,TARRYTOWN,NY,10591,WESTCHESTER,MICHAEL WIRTZ,HEAD OF SCHOOL,9143662601,mwirtz@hackleyschool.org,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),LARGE CENTRAL DISTRICTS AND VILLAGE DISTRICTS, ,UFSD - TARRYTOWNS,800000035622,660401996449,596930.27067123,4547014.25413215
2272,HUDSON LAB SCHOOL INC,185 OLD BROADWAY, ,HASTINGS ON HUDSON,NY,10706,WESTCHESTER,CATHERINE HAN,ADMINISTRATOR,9177428560,cate@hudsonlabschool.com,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),MEDIUM CENTRAL DISTRICTS, ,HASTINGS-ON-HUDSON UFSD,800000089625,660404996304,594246.533649414,4537623.01405855
2273,PINNACLE LUTHERAN SCHOOL,250 PINNACLE RD, ,ROCHESTER,NY,14623,MONROE,SARAH COLE,ADMINISTRATOR,5853346500,mrssarahcole2012@gmail.com,NON-PUBLIC SCHOOLS,LUTHERAN,NON PUBLIC SCHOOL (IMF),LARGE CENTRAL DISTRICTS AND VILLAGE DISTRICTS, ,RUSH-HENRIETTA CSD,800000050634,261701329066,289812.891428843,4772795.56348529
2274,GREENE HILL SCHOOL,39 ADELPHI ST, ,BROOKLYN,NY,11205,KINGS,DIANA SCHLESINGER,DIRECTOR,7182303608,dschlesinger@greenehillschool.org,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),NEW YORK CITY, ,NYC GEOG DIST 13,800000066272,331300996002,586814.356511643,4505614.53009103
2275,MOHAWK COUNTRY DAY SCHOOL,200 OLD TARRYTOWN RD, ,WHITE PLAINS,NY,10603,WESTCHESTER,KIM ROSS,DIRECTOR,9149492635,kimross@mohawkcountrydayschool.com,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),MEDIUM CENTRAL DISTRICTS, ,GREENBURGH CSD,800000035487,660407998343,602112.256436891,4544644.71258119
2276,ELMWOOD COUNTRY DAY SCHOOL,900 DOBBS FERRY RD, ,WHITE PLAINS,NY,10607,WESTCHESTER,JANE ARCAYA,PRINCIPAL,9145928577,directors@elmwooddayschool.com,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),SMALL CENTRAL DISTRICTS, ,ELMSFORD UFSD,800000034783,660409990027,598158.496511834,4543267.20751688
2277,KEIO ACADEMY OF NEW YORK,3 COLLEGE RD, ,PURCHASE,NY,10577,WESTCHESTER,MOTOHIRO TSUCHIYA,ACTING HEADMASTER,9146944825,keiony@keio.edu,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),LARGE CENTRAL DISTRICTS AND VILLAGE DISTRICTS, ,HARRISON CSD,800000055852,660501999283,607636.399715305,4542929.36101058
2278,E F INTERNATIONAL ACADEMY,582 COLUMBUS AVE, ,THORNWOOD,NY,10594,WESTCHESTER,VLADIMIR KUSKOVSKI,PRINCIPAL,9144956028,vladimir.kuskovski@ef.com,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),MEDIUM CENTRAL DISTRICTS, ,MT PLEASANT CSD,800000064671,660801995963,602958.410704928,4551724.22219045
2279,HAWTHORNE COUNTRY DAY SCHOOL,5 BRADHURST AVE, ,HAWTHORNE,NY,10532,WESTCHESTER,GAIL NACHIMSON,PRINCIPAL,9145928526,gnachimson@hfadm.org,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),SMALL CENTRAL DISTRICTS, ,POCANTICO HILLS CSD,800000035365,660802999880,600949.658694636,4548990.67309399
2280,MOUNT TOM DAY SCHOOL,48 MT TOM RD, ,NEW ROCHELLE,NY,10805,WESTCHESTER,ERIN DUTTON,DIRECTOR,9146368130,erin@mounttomdayschool.com,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),MEDIUM CITIES, ,NEW ROCHELLE CITY SD,800000035097,661100996715,601947.085189368,4527705.56619639
2281,THORNTON DONOVAN SCHOOL,100 OVERLOOK CIRCLE, ,NEW ROCHELLE,NY,10804,WESTCHESTER,DOUGLAS FLEMING,HEADMASTER,9146328836,headmaster@td.edu,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),MEDIUM CITIES, ,NEW ROCHELLE CITY SD,800000035099,661100996718,602547.513089161,4532059.36172093
2282,HUDSON COUNTRY MONTESSORI SCHOOL,340 QUAKER RIDGE RD, ,NEW ROCHELLE,NY,10804,WESTCHESTER,NEERU BHAMBREE,EDUCATION DIRECTOR,9146366202,ms.bhambree@hudsoncountry.org,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),MEDIUM CITIES, ,NEW ROCHELLE CITY SD,800000035078,661100998325,602394.480859829,4534369.09218227
2283,SAINT ANNS SCHOOL,129 PIERREPONT ST, ,BROOKLYN,NY,11201,KINGS,VINCENT TOMPKINS,HEADMASTER,7185221660,vtompkins@saintannsny.org,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),NEW YORK CITY, ,NYC GEOG DIST 13,800000045364,331300997535,585140.958003908,4505399.78576921
2284,DILLON CHILD STUDY CENTER,239 VANDERBILT AVE, ,BROOKLYN,NY,11205,KINGS,SUSAN STRAUT COLLARD,DIRECTOR,7189405678,sstrautcollard@sjcny.edu,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),NEW YORK CITY, ,NYC GEOG DIST 13,800000045366,331300998049,587097.206935519,4504938.65607817
2285,WILLIAMSBURG MONTESSORI,450 KENT AVE-1ST FL, ,BROOKLYN,NY,11205,KINGS,BECKY SIMKHAI,PRINCIPAL,7183843400,office@wmsny.org,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),NEW YORK CITY, ,NYC GEOG DIST 14,800000088046,331400996235,587123.762975316,4506941.21107918
2286,PACKER COLLEGIATE INSTITUTE,170 JORALEMON ST, ,BROOKLYN,NY,11201,KINGS,JENNIFER WEYBURN,PRINCIPAL,7182500221,jweyburn@packer.edu,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),NEW YORK CITY, ,NYC GEOG DIST 15,800000044957,331500996927,585136.044996546,4505119.26434883
2287,BROOKLYN HEIGHTS MONTESSORI SCHOOL,185 COURT ST, ,BROOKLYN,NY,11201,KINGS,STEPHANIE FLANNIGAN,PRINCIPAL,7188585100,sflanigan@bhmsny.org,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),NEW YORK CITY, ,NYC GEOG DIST 15,800000044981,331500999568,585084.989920035,4504603.93657657
2288,MARY BOBB LEARNING ACADEMY,1187 NOSTRAND AVE, ,BROOKLYN,NY,11225,KINGS,DEBORAH ROBERTS,DIRECTOR,7186044400,marybobblearningacademy@gmail.com,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),NEW YORK CITY, ,NYC GEOG DIST 17,800000060211,331700995590,588742.807401597,4501368.14372745
2289,FUSION ACADEMY WESTCHESTER,701 WESTCHESTER AVE-STE 200E, ,WHITE PLAINS,NY,10604,WESTCHESTER,RYAN MONK,HEAD OF SCHOOL,9142859036,rmonk@fusionacademy.com,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),MEDIUM CITIES, ,WHITE PLAINS CITY SD,800000077966,662200996141,606262.778656813,4542416.47624198
2290,GERMAN INTERNATIONAL SCHOOL NEW YORK,50 PARTRIDGE RD, ,WHITE PLAINS,NY,10605,WESTCHESTER,LARS HIERATH,PRINCIPAL,9149486513,lhierath@gisny.org,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),MEDIUM CITIES, ,WHITE PLAINS CITY SD,800000034791,662200998528,606559.305101184,4540868.52592224
2291,KODOMONO KUNI,252 SOUNDVIEW AVE, ,WHITE PLAINS,NY,10606,WESTCHESTER,KUNIKO HAYATSU,PRINCIPAL,9149490067,admin@kodomony.org,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),MEDIUM CITIES, ,WHITE PLAINS CITY SD,800000034776,662200999517,603701.188818046,4539914.27849222
2292,SAINT FRANCIS DE SALES SCHOOL FOR THE DEAF IN BROOKLYN,260 EASTERN PKY, ,BROOKLYN,NY,11225,KINGS,JODI FALK,PRINCIPAL,7186364573,jfalk@sfdesales.org,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),NEW YORK CITY, ,NYC GEOG DIST 17,800000044687,331700997089,587835.65604215,4502736.35077782
2293,LEAGUE SCHOOL,567 KINGSTON AVE, ,BROOKLYN,NY,11203,KINGS,MARK HANDELMAN,PRINCIPAL,7184982500,mhandelman@leaguecenter.org,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),NEW YORK CITY, ,NYC GEOG DIST 17,800000044688,331700997636,589411.389403525,4501506.19093432
2294,PHYLS ACADEMY PREPARATORY SCHOOL,3520 TILDEN AVE, ,BROOKLYN,NY,11203,KINGS,ABENAA FREMPONG-BOADU,PRINCIPAL,7184699400,afb@phylsacademyny.com,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),NEW YORK CITY, ,NYC GEOG DIST 17,800000044672,331700999190,589313.979257547,4500105.60183541
2295,ARISTA PREP SCHOOL,275 KINGSTON AVE, ,BROOKLYN,NY,11213,KINGS,ARTEMAS JULIEN,PRINCINPAL,7184939290,aristaprep@gmail.com,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),NEW YORK CITY, ,NYC GEOG DIST 17,800000044673,331700999382,589424.852423701,4502686.20870268
2296,NAZARETH REGIONAL HIGH SCHOOL,475 E 57TH ST , ,BROOKLYN,NY,11203,KINGS,ROBERT DI RE,PRINCIPAL,7187631100,rdire@nazarethrhs.org,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),NEW YORK CITY, ,NYC GEOG DIST 18,800000044607,331800126092,591100.349934581,4499776.28934191
2297,RAVENS ELEMENTARY SCHOOL,1102 E 92ND ST, ,BROOKLYN,NY,11236,KINGS,MARIA CALLENDER,PRINCIPAL,7189272316,ravensschoolnow@gmail.com,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),NEW YORK CITY, ,NYC GEOG DIST 18,800000059829,331800995708,592482.012005123,4499631.43712484
2298,A PLUS KIDZ ACADEMY,10504 FLATLANDS AVE, ,BROOKLYN,NY,11236,KINGS,DENISE MILLS,DIRECTOR,7186790052,msdenisemills@yahoo.com,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),NEW YORK CITY, ,NYC GEOG DIST 18,800000088203,331800996245,593483.141505403,4500221.51200912
2299,GREAT OAKS ELEMENTARY SCHOOL,4718 FARRAGUT RD, ,BROOKLYN,NY,11203,KINGS,JASMIN HOYT,PRINCIPAL,7182826210,greatoaks264@greatoakselementary.org,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),NEW YORK CITY, ,NYC GEOG DIST 18,800000044531,331800999481,590390.941871471,4499032.89422787
2300,JOHN A COLEMAN SCHOOL,300 CORPORATE BLVD SOUTH, ,YONKERS,NY,10701,WESTCHESTER,PATRICIA TURSI,PRINCIPAL,9142946301,ptursi@setonchildrens.org,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),LARGE CITIES, ,YONKERS CITY SD,800000058281,662300995058,594450.990955811,4535840.28838698
2301,WESTCHESTER SCHOOL FOR SPECIAL CHILDREN,45 PARK AVE, ,YONKERS,NY,10703,WESTCHESTER,LEONARD SPANO,DIRECTOR,9143764300,lspano@westchesterschool.org,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),LARGE CITIES, ,YONKERS CITY SD,800000034585,662300997779,593267.837182751,4532856.94691619
2302,GILEAD SCHOOL OF DISCIPLESHIP,181 S MAIN ST, ,PERRY,NY,14530,WYOMING,JUSTIN PERRY,ADMINISTRATOR,5853304113,gileadsd@frontiernet.net,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),SMALL CENTRAL DISTRICTS, ,PERRY CSD,800000060458,671201995611,253531.811058455,4733245.02421533
2303,HUNTER COLLEGE CAMPUS SCHOOLS,71 E 94TH ST, ,NEW YORK,NY,10128,NEW YORK,LISA SIEGMANN,DIRECTOR,6469636341,lsiegman@hccs.hunter.cuny.edu,NON-PUBLIC SCHOOLS,CAMPUS SCHOOLS,NON PUBLIC SCHOOL (IMF),NEW YORK CITY, ,NYC GEOG DIST 2,800000047584,310200986779,588274.970700502,4515469.10485897
2304,ADELPHI ACADEMY,8515 RIDGE BLVD, ,BROOKLYN,NY,11209,KINGS,IPHIGENIA ROMANOS,HEAD OF SCHOOL,7182383308,romanosi@adelphi.org,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),NEW YORK CITY, ,NYC GEOG DIST 20,800000034214,332000996880,581765.126944928,4497532.16297889
2305,POLYTECH PREP COUNTRY DAY SCHOOL,9216 7TH AVE, ,BROOKLYN,NY,11228,KINGS,AUDRIUS BARZDUKAS,HEAD OF SCHOOL,7188369800,abarzdukas@polyprep.org,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),NEW YORK CITY, ,NYC GEOG DIST 20,800000044137,332000996928,582542.732110239,4496159.62792203
2306,BAY RIDGE PREPARATORY SCHOOL,8101 RIDGE BLVD, ,BROOKLYN,NY,11209,KINGS,CHARLES FASANO,HEADMASTER,7188339090,cfasano@bayridgeprep.org,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),NEW YORK CITY, ,NYC GEOG DIST 20,800000044120,332000999653,581854.061078205,4497854.29046163
2307,IMAGINE ACADEMY,1458 E 14TH ST, ,BROOKLYN,NY,11230,KINGS,ELISA CHREM,PRINCIPAL,7183768882,echrem@imagineacademy.com,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),NEW YORK CITY, ,NYC GEOG DIST 21,800000059263,332100995351,587929.907183394,4496423.84631798
2308,BECEC INC,1981 HOMECREST AVE, ,BROOKLYN,NY,11229,KINGS,VLAD GORNY,PRINCIPAL,7186457010,vladgor@me.com,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),NEW YORK CITY, ,NYC GEOG DIST 21,800000069391,332100996045,588028.708331456,4495012.0652023
2309,BROOKLYN AMITY SCHOOL,3867 SHORE PARKWAY, ,BROOKLYN,NY,11235,KINGS,FARUK GURSOY,PRINCIPAL,7188916100,fgursoy@amityschool.org,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),NEW YORK CITY, ,NYC GEOG DIST 21,800000043980,332100999764,590371.594842478,4493428.57982931
2310,CORTELYOU EARLY CHILDHOOD CENTER,2739 BEDFORD AVE, ,BROOKLYN,NY,11210,KINGS,SOPHIA FRANCIS,PRINCIPAL,7184219581,sfrancis@mycecc.com,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),NEW YORK CITY, ,NYC GEOG DIST 22,800000059864,332200995520,588516.665062702,4498879.12099743
2311,EBENEZER PREPARATORY SCHOOL,5464 KINGS HWY, ,BROOKLYN,NY,11203,KINGS,JOY JONES,PRINCIPAL,9173354092,info@ebenezerprepschool.org,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),NEW YORK CITY, ,NYC GEOG DIST 22,800000043711,332200998736,590832.708533497,4499529.75497246
2312,LAWRENCE WOODMERE ACADEMY,336 WOODMERE BLVD, ,WOODMERE,NY,11598,NASSAU,BRIAN OCONNELL,HEADMASTER,5163749000,boconnell@lawrencewoodmere.org,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),LARGE CENTRAL DISTRICTS AND VILLAGE DISTRICTS, ,HEWLETT-WOODMERE UFSD,800000049492,280214999253,608747.859380925,4499020.63220949
2313,MAPLEWOOD SCHOOL,2166 WANTAGH AVE, ,WANTAGH,NY,11793,NASSAU,JOSEPH HOLDEN,DIRECTOR,5162212121,office@maplewoodschool.com,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),LARGE CENTRAL DISTRICTS AND VILLAGE DISTRICTS, ,WANTAGH UFSD,800000049325,280223997274,625829.273978926,4502958.16311023
2314,GERSH ACADEMY INC,307 EAGLE AVE, ,WEST HEMPSTEAD,NY,11552,NASSAU,DAVE BLAIKLOCK,ACTING SUPERINTENDENT,6317607959,dblaiklock@GershAutism.com,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),MEDIUM CENTRAL DISTRICTS, ,WEST HEMPSTEAD UFSD,800000066851,280227996019,613730.538847908,4504887.31300123
2315,PROGRESSIVE SCHOOL OF LONG ISLAND,1425 MERRICK AVE, ,MERRICK,NY,11566,NASSAU,ERIC JACOBSON,DIRECTOR,5168686835,eric@progressiveli.org,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),MEDIUM CENTRAL DISTRICTS, ,NORTH MERRICK UFSD,800000049278,280229999021,621668.5397437,4504714.95874294
2316,SMILES AROUND US ACADEMY,351 SAND LN, ,STATEN ISLAND,NY,10305,RICHMOND,GABRIELE KAZAKEVICH,PRINCIPAL,7183900070,administration@southfieldinstitute.com,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),NEW YORK CITY, ,NYC GEOG DIST 31,800000059005,353100995152,578943.005715732,4493774.54834777
2317,STATEN ISLAND ACADEMY,715 TODT HILL RD, ,STATEN ISLAND,NY,10304,RICHMOND,ALBERT CAUZ,HEAD OF SCHOOL,7189878100,acauz@statenislandacademy.org,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),NEW YORK CITY, ,NYC GEOG DIST 31,800000041775,353100997022,575298.792254558,4494196.1619796
2318,RED ROBIN COUNTRY DAY SCHOOL,878 JERICHO TPKE, ,WESTBURY,NY,11590,NASSAU,MICHAEL COHN,ADMINISTRATOR,5163341144,vmaxcamper@aol.com,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),LARGE CENTRAL DISTRICTS AND VILLAGE DISTRICTS, ,WESTBURY UFSD,800000049153,280401997289,620593.510132674,4514669.26466034
2319,HAPPY MONTESSORI SCHOOL OF PORT WASHINGTON,40 PLEASANT AVE, ,PORT WASHINGTON,NY,11050,NASSAU,AMRIT SETHI,DIRECTOR,5168831131,happymontessori@aol.com,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),LARGE CENTRAL DISTRICTS AND VILLAGE DISTRICTS, ,PORT WASHINGTON UFSD,800000049105,280404998318,609643.851723649,4521603.98005262
2320,COUNTRYSIDE MONTESSORI SCHOOL,354 LAKEVILLE RD, ,GREAT NECK,NY,11020,NASSAU,MARY ANN PASTORELLI,PRINCIPAL,5164668422,info@cmsgn.com,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),LARGE CENTRAL DISTRICTS AND VILLAGE DISTRICTS, ,GREAT NECK UFSD,800000058179,280407995049,609397.029353763,4513038.5022165
2321,BUCKLEY COUNTRY DAY SCHOOL,2 I U WILLETS RD, ,ROSLYN,NY,11576,NASSAU,JEAN-MARC JUHEL,PRINCIPAL,5166271910,jmjuhel@buckleycountryday.com,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),LARGE CENTRAL DISTRICTS AND VILLAGE DISTRICTS, ,HERRICKS UFSD,800000048996,280409996434,611618.846683352,4513865.70445614
2322,HENRY VISCARDI SCHOOL,201 I U WILLETS RD, ,ALBERTSON,NY,11507,NASSAU,ANGELO ZEGARELLI,HEAD OF SCHOOL,5164651695,azegarelli@henryviscardischool.org,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),LARGE CENTRAL DISTRICTS AND VILLAGE DISTRICTS, ,HERRICKS UFSD,800000049006,280409996453,613252.259131164,4513932.03355554
2323,CENTER FOR DEVELOPMENTAL DISABILITIES,72 S WOODS RD, ,WOODBURY,NY,11797,NASSAU,JAY SILVERSTEIN,EXECUTIVE DIRECTOR,5169217650,jsilverstein@centerfordd.org,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),LARGE CENTRAL DISTRICTS AND VILLAGE DISTRICTS, ,SYOSSET CSD,800000048916,280502996642,628201.054533248,4521161.02838882
2324,PORTLEDGE SCHOOL,355 DUCK POND RD, ,LOCUST VALLEY,NY,11560,NASSAU,SIMON OWEN-WILLIAMS,HEADMASTER,5167503201,sowenwilliams@portledge.org,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),MEDIUM CENTRAL DISTRICTS, ,LOCUST VALLEY CSD,800000048906,280503996472,619246.495114054,4525257.75552813
2325,CHRIST THE KING PREPARATORY ACADEMY,704 91ST ST, ,NIAGARA FALLS,NY,14304,NIAGARA,MARIA MORABITO,DIRECTOR,7165536318,morabito2@verizon.net,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),SMALL CITIES, ,NIAGARA FALLS CITY SD,800000075173,400800996105,177712.238436162,4777474.02149637
2326,TILTON SCHOOL AT THE HOUSE OF GOOD SHEPHERD,1550 CHAMPLIN AVE, ,UTICA,NY,13502,ONEIDA,BRIAN MCKEE,PRINCIPAL,3152357671,bmckee@hgs-utica.com,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),SMALL CENTRAL DISTRICTS, ,NY MILLS UFSD,800000041391,411504997416,477547.527765696,4772185.46657101
2327,MONTESSORI DISCOVERY SCHOOL,109 WARING RD, ,SYRACUSE,NY,13224,ONONDAGA,KRISTIN COLTON,PRINCIPAL,3154460204,contact@montessoridiscoveryschool.com,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),LARGE CENTRAL DISTRICTS AND VILLAGE DISTRICTS, ,JAMESVILLE-DEWITT CSD,800000066271,420411996003,410187.562820869,4763706.71786486
2328,MANLIUS-PEBBLE HILL SCHOOL,5300 JAMESVILLE RD, ,DEWITT,NY,13214,ONONDAGA,DAVID MCCUSKER,HEAD OF SCHOOL,3154462452,dmccusker@mphschool.org,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),LARGE CENTRAL DISTRICTS AND VILLAGE DISTRICTS, ,JAMESVILLE-DEWITT CSD,800000041060,420411997121,412839.518795057,4764524.3170901
2329,MISS SUES NURSERY SCHOOL & KINDERGARTEN,1191 OLD COUNTRY RD, ,PLAINVIEW,NY,11803,NASSAU,RONALD KUZNETZ,DIRECTOR,5169380894,misssues@gmail.com,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),LARGE CENTRAL DISTRICTS AND VILLAGE DISTRICTS, ,PLAINVIEW-OLD BETHPAGE CSD,800000048866,280504998342,629707.142790253,4515008.28016839
2330,EAST WOODS SCHOOL,31 YELLOW COTE RD, ,OYSTER BAY,NY,11771,NASSAU,LAURA KANG,HEAD OF SCHOOL,5169224400,lkang@eastwoods.org,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),MEDIUM CENTRAL DISTRICTS, ,OYSTER BAY-EAST NORWICH CSD,800000048850,280506996444,626292.0256724,4523728.43623631
2331,HARMONY HEIGHTS SCHOOL,60 WALNUT AVE, ,EAST NORWICH,NY,11732,NASSAU,JOHN CASTRONOVA,PRINCIPAL,5169226688,john.castronova@harmonyheights.org,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),MEDIUM CENTRAL DISTRICTS, ,OYSTER BAY-EAST NORWICH CSD,800000048851,280506998512,623537.14554397,4522098.21579328
2332,CAROUSEL DAY SCHOOL,9 WEST AVE, ,HICKSVILLE,NY,11801,NASSAU,JANE FORMICA,DIRECTOR,5169381137,gene@carouseldayschool.com,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),LARGE CENTRAL DISTRICTS AND VILLAGE DISTRICTS, ,HICKSVILLE UFSD,800000048760,280517998271,623592.825627412,4513034.74921088
2333,HAGEDORN LITTLE VILLAGE SCHOOL,750 HICKSVILLE RD, ,SEAFORD,NY,11783,NASSAU,JON FEINGOLD,EXECUTIVE DIRECTOR,5165206047,jon.feingold@littlevillage.org,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),LARGE CENTRAL DISTRICTS AND VILLAGE DISTRICTS, ,PLAINEDGE UFSD,800000049647,280518998058,628002.703236001,4507252.47654564
2334,NORD ANGLIA INTERNATIONAL SCHOOL-NEW YORK,44 E 2ND ST, ,NEW YORK,NY,10003,NEW YORK,BARRIE SCRYMGEOUR,PRINCIPAL,2126002010,barrie.scrymgeour@ny.nae.school,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),NEW YORK CITY, ,NYC GEOG DIST 1,800000084203,310100996176,585313.156261963,4508699.71771445
2335,NEW AMSTERDAM SCHOOL,62 AVE B, ,NEW YORK,NY,10009,NEW YORK,DENESE GIORDANO,ADMINISTRATOR,2125331820,denese.giordano@newamsterdamchildhood.org,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),NEW YORK CITY, ,NYC GEOG DIST 1,800000085965,310100996205,585945.81021005,4508590.02855007
2336,PATHWAYS CHILDRENS SERVICES,273 BOWERY, ,NEW YORK,NY,10002,NEW YORK,KANDICE FRANCIS,BUSINESS AND OPERATIONS MANAGER,9172620120,businessoperations@pathwayschildrensschool.org,NON-PUBLIC SCHOOLS,INDEPENDENT,NON PUBLIC SCHOOL (IMF),NEW YORK CITY, ,NYC GEOG DIST 1,800000086183,310100996213,585087.252923426,4508571.06052165
